,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Kenya,24.48,24.87,25.67,26.07,25.43,24.48,23.42,22.86,23.14,23.92,24.80,24.54,24.54
"Rift Valley",22.39,22.54,23.32,23.64,23.16,22.46,21.53,21.04,21.29,22.18,22.85,22.33,22.39
Nyanza,21.34,21.70,22.06,22.14,21.64,21.23,20.63,20.28,20.66,21.13,21.83,21.33,21.40
Western,20.54,21.05,21.45,21.59,21.15,20.48,19.76,19.50,19.61,19.92,20.70,20.60,20.70
Coast,26.15,26.94,27.53,28.03,27.42,26.01,24.74,24.10,24.60,24.76,26.15,26.83,26.67
Central,16.07,16.33,17.06,17.44,17.24,16.47,15.13,14.39,14.51,15.50,16.54,16.12,16.08
Nairobi,18.55,19.17,19.81,20.23,19.73,18.67,17.15,16.25,16.61,18.12,19.34,18.80,18.78
Eastern,24.98,25.25,26.22,26.59,25.91,24.98,23.94,23.30,23.62,24.58,25.54,24.95,24.85
"North Eastern",27.30,27.93,28.77,29.35,28.40,27.29,26.11,25.54,25.71,26.54,27.31,27.24,27.36
